year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,wd
2013.0,3.0,1.0,0.0,6.0,8.25,6.25,14.25,275.0,81.0,-0.55,1024.125,-20.75,0.0,5.375,NNW
2013.0,3.0,1.0,1.0,5.5,12.25,6.75,14.0,275.0,81.0,-0.8,1024.625,-21.125,0.0,4.1,NW
2013.0,3.0,1.0,2.0,4.75,5.5,7.25,15.5,275.0,71.75,-1.175,1024.85,-23.0,0.0,5.375,NNW
2013.0,3.0,1.0,3.0,4.25,5.0,5.25,17.0,325.0,70.5,-1.4,1025.775,-23.975,0.0,4.45,N
2013.0,3.0,1.0,4.0,4.0,4.75,6.25,16.0,300.0,75.5,-1.9249999999999998,1026.625,-23.25,0.0,2.9000000000000004,NNW
2013.0,3.0,1.0,5.0,5.0,5.75,10.0,18.75,350.0,74.0,-2.35,1027.025,-20.875,0.0,2.725,NW
2013.0,3.0,1.0,6.0,5.75,8.5,10.75,23.75,375.0,66.75,-2.525,1027.775,-20.075,0.0,2.2750000000000004,NW
2013.0,3.0,1.0,7.0,4.0,5.75,11.25,32.5,400.0,57.0,-1.45,1028.975,-20.075,0.0,3.2,NNW
2013.0,3.0,1.0,8.0,3.0,6.0,12.0,39.0,475.0,51.5,-0.19999999999999998,1029.875,-20.7,0.0,4.475,NW
2013.0,3.0,1.0,9.0,7.25,8.25,9.5,27.75,425.0,65.0,0.6,1030.0,-22.3,0.0,4.775,N
2013.0,3.0,1.0,10.0,4.5,7.5,8.0,20.5,350.0,74.0,1.525,1029.7,-21.725,0.0,4.8,N
2013.0,3.0,1.0,11.0,5.25,10.25,7.25,19.25,350.0,77.25,2.9,1029.4,-22.299999999999997,0.0,4.9,NNW
2013.0,3.0,1.0,12.0,5.5,11.25,5.75,18.5,325.0,80.25,3.975,1028.2749999999999,-20.825,0.0,4.725,W
2013.0,3.0,1.0,13.0,7.0,15.0,5.0,16.25,325.0,84.25,5.075,1027.4,-20.725,0.0,4.45,NW
2013.0,3.0,1.0,14.0,8.25,13.0,4.75,17.0,325.0,85.0,6.15,1027.175,-21.55,0.0,4.1,NW
2013.0,3.0,1.0,15.0,5.75,12.5,4.5,17.75,325.0,85.25,6.05,1027.2,-20.625,0.0,2.275,NNW
2013.0,3.0,1.0,16.0,8.75,18.25,5.5,18.75,300.0,84.0,5.675,1027.175,-20.05,0.0,2.325,N
2013.0,3.0,1.0,17.0,9.5,25.25,8.0,23.5,400.0,78.0,4.375,1027.725,-20.349999999999998,0.0,3.325,N
2013.0,3.0,1.0,18.0,10.75,21.75,8.25,29.5,450.0,70.75,3.1750000000000003,1028.9,-19.825,0.0,0.9,NNW
2013.0,3.0,1.0,19.0,12.25,12.5,8.5,40.75,525.0,58.0,2.825,1029.6499999999999,-19.375,0.0,1.525,N
2013.0,3.0,1.0,20.0,9.75,14.25,12.25,38.75,500.0,57.75,1.625,1030.75,-18.575,0.0,1.425,ENE
2013.0,3.0,1.0,21.0,12.5,15.75,17.0,48.75,575.0,45.75,0.75,1031.825,-18.95,0.0,0.95,NE
2013.0,3.0,1.0,22.0,14.5,18.0,15.75,56.0,675.0,37.25,0.3,1032.3000000000002,-18.75,0.0,1.8,ENE
2013.0,3.0,1.0,23.0,10.5,15.75,15.25,50.5,625.0,42.5,-0.425,1032.225,-19.125,0.0,1.925,NE
2013.0,3.0,2.0,0.0,9.75,14.0,12.25,40.5,500.0,52.75,-0.625,1032.5,-18.125,0.0,0.8,E
2013.0,3.0,2.0,1.0,3.0,8.25,12.0,35.5,475.0,56.5,-1.4500000000000002,1032.725,-17.375,0.0,0.275,ENE
2013.0,3.0,2.0,2.0,3.5,7.25,10.0,31.25,400.0,58.0,-2.0250000000000004,1032.4,-16.75,0.0,0.425,N
2013.0,3.0,2.0,3.0,4.5,7.0,9.75,32.25,500.0,74.25,-2.675,1032.1,-16.25,0.0,0.35,N
2013.0,3.0,2.0,4.0,3.0,6.5,8.0,31.0,425.0,56.0,-2.7,1032.225,-16.5,0.0,0.225,N
2013.0,3.0,2.0,5.0,5.25,7.75,11.0,39.75,450.0,45.25,-2.25,1031.6,-17.950000000000003,0.0,1.1,NNE
2013.0,3.0,2.0,6.0,3.5,6.5,13.75,53.0,525.0,31.0,-2.3499999999999996,1030.875,-18.224999999999998,0.0,1.3,N
2013.0,3.0,2.0,7.0,5.5,8.0,22.25,59.75,600.0,27.25,-1.8499999999999999,1031.375,-18.125,0.0,1.3499999999999999,N
2013.0,3.0,2.0,8.0,5.25,8.25,22.25,55.5,600.0,32.25,-0.775,1031.175,-17.9,0.0,1.6500000000000001,NNE
2013.0,3.0,2.0,9.0,5.5,11.75,19.75,47.5,525.0,41.25,0.22499999999999998,1031.2,-17.75,0.0,0.8,NE
2013.0,3.0,2.0,10.0,6.75,11.25,21.25,51.5,575.0,38.0,1.55,1030.625,-17.575,0.0,0.8500000000000001,ENE
2013.0,3.0,2.0,11.0,9.25,15.75,20.25,58.0,750.0,32.25,2.5,1029.7,-17.85,0.0,3.1,SW
2013.0,3.0,2.0,12.0,18.75,23.25,21.5,65.5,950.0,29.75,3.525,1028.575,-17.45,0.0,1.5,SSW
2013.0,3.0,2.0,13.0,24.25,31.25,21.75,55.25,775.0,41.25,3.675,1027.125,-17.45,0.0,1.125,S
2013.0,3.0,2.0,14.0,32.0,37.0,20.5,46.75,750.0,50.5,3.875,1026.3,-17.725,0.0,0.625,SSW
2013.0,3.0,2.0,15.0,31.25,37.25,31.25,50.0,1000.0,50.0,4.2,1025.675,-17.625,0.0,1.425,SSW
2013.0,3.0,2.0,16.0,41.25,52.0,46.75,59.0,1225.0,43.0,3.9499999999999997,1024.95,-16.474999999999998,0.0,2.05,SSW
2013.0,3.0,2.0,17.0,52.25,65.25,47.0,61.5,1100.0,40.75,2.95,1024.825,-15.4,0.0,1.075,WSW
2013.0,3.0,2.0,18.0,55.0,68.5,49.25,65.25,1100.0,35.25,1.9500000000000002,1024.8500000000001,-14.925,0.0,0.525,NE
2013.0,3.0,2.0,19.0,62.25,80.5,48.75,73.75,1175.0,24.25,1.5750000000000002,1024.475,-15.0,0.0,0.375,N
2013.0,3.0,2.0,20.0,66.5,86.25,50.25,87.5,1499.25,11.25,0.825,1024.475,-15.0,0.0,1.05,N
2013.0,3.0,2.0,21.0,75.0,95.25,56.5,98.75,1825.0,4.5,0.525,1024.25,-14.875,0.0,0.475,N
2013.0,3.0,2.0,22.0,86.5,102.75,57.75,103.5,2099.5,4.0,-0.9,1023.725,-14.425,0.0,0.35,ENE
2013.0,3.0,2.0,23.0,94.25,109.75,60.0,100.25,2349.75,3.75,-1.175,1022.6750000000001,-14.225,0.0,0.325,N
2013.0,3.0,3.0,0.0,99.5,118.25,66.0,100.75,2499.5,4.0,-2.0,1021.8249999999999,-12.850000000000001,0.0,0.3,N
2013.0,3.0,3.0,1.0,109.75,125.25,70.75,101.5,2699.5,4.25,-1.85,1020.9,-13.275,0.0,0.825,W
2013.0,3.0,3.0,2.0,122.5,136.25,82.5,102.25,2674.5,4.25,-2.5,1019.875,-13.05,0.0,1.325,E
2013.0,3.0,3.0,3.0,122.0,130.75,97.75,101.5,2349.75,3.5,-3.125,1018.85,-12.675,0.0,1.2,ESE
2013.0,3.0,3.0,4.0,102.5,114.0,93.5,98.75,2324.75,3.25,-4.225,1018.475,-12.4,0.0,0.3,E
2013.0,3.0,3.0,5.0,90.25,103.75,67.0,92.25,2474.5,3.25,-5.3,1017.95,-11.425,0.0,0.875,NE
2013.0,3.0,3.0,6.0,91.5,101.75,63.0,91.5,2674.75,3.5,-5.5,1017.775,-11.225000000000001,0.0,0.2,ENE
2013.0,3.0,3.0,7.0,92.75,103.25,63.0,92.5,2799.75,3.75,-3.25,1018.075,-10.125,0.0,0.45,N
2013.0,3.0,3.0,8.0,93.0,111.0,71.5,92.0,2849.5,3.75,1.075,1017.625,-13.524999999999999,0.0,1.1749999999999998,N
2013.0,3.0,3.0,9.0,96.25,118.75,106.0,95.25,2474.75,5.0,3.875,1017.15,-13.5,0.0,0.55,SE
2013.0,3.0,3.0,10.0,96.25,112.75,117.0,99.25,2349.5,8.75,6.725,1016.25,-13.425,0.0,1.1500000000000001,SSW
2013.0,3.0,3.0,11.0,99.0,117.75,102.25,106.5,2500.0,12.0,9.975,1015.15,-12.975,0.0,0.6,W
2013.0,3.0,3.0,12.0,105.5,132.5,85.5,117.25,2600.0,14.25,13.5,1013.925,-13.525,0.0,1.625,WNW
2013.0,3.0,3.0,13.0,108.75,132.25,52.25,99.75,1949.75,27.5,15.625,1012.625,-13.725000000000001,0.0,4.475,NW
2013.0,3.0,3.0,14.0,87.25,107.5,28.0,64.0,1200.0,52.75,16.474999999999998,1012.0,-15.05,0.0,6.325,W
2013.0,3.0,3.0,15.0,63.5,100.75,16.5,32.5,675.0,79.0,16.675,1011.625,-14.575,0.0,4.025,WNW
2013.0,3.0,3.0,16.0,44.5,92.0,18.0,40.5,725.0,74.25,15.95,1011.8000000000001,-14.875,0.0,1.7,ENE
2013.0,3.0,3.0,17.0,49.25,111.5,28.5,67.5,1050.0,59.5,12.725,1012.525,-12.575,0.0,1.4,SSW
2013.0,3.0,3.0,18.0,67.5,126.5,41.25,92.25,1374.75,39.5,9.6,1013.65,-10.55,0.0,1.15,WNW
2013.0,3.0,3.0,19.0,100.25,193.5,61.5,132.25,1974.5,11.25,8.15,1014.525,-10.625,0.0,0.5,W
2013.0,3.0,3.0,20.0,137.75,232.0,57.0,133.75,2224.5,4.5,6.824999999999999,1014.7750000000001,-9.375,0.0,0.225,W
2013.0,3.0,3.0,21.0,146.5,207.75,38.5,114.5,1999.25,5.25,4.325,1014.95,-9.55,0.0,0.15000000000000002,N
2013.0,3.0,3.0,22.0,99.25,119.0,27.5,102.0,1874.75,3.75,2.8000000000000003,1015.375,-8.85,0.0,0.75,WNW
2013.0,3.0,3.0,23.0,70.5,96.25,26.25,101.0,2299.5,3.25,6.625,1016.225,-11.799999999999999,0.0,0.725,N
2013.0,3.0,4.0,0.0,57.0,81.75,35.25,101.5,3199.75,4.75,9.35,1017.05,-13.35,0.0,4.325,N
2013.0,3.0,4.0,1.0,56.0,78.0,28.0,64.25,1025.0,19.25,9.025,1017.975,-13.35,0.0,3.4,NNW
2013.0,3.0,4.0,2.0,26.5,40.0,8.5708,21.27985,475.0,70.75,8.325,1018.2,-13.375,0.0,2.2,N
2013.0,3.0,4.0,3.0,11.25,28.5,4.25,16.0,375.0,74.75,7.3500000000000005,1018.175,-13.549999999999999,0.0,3.4,N
2013.0,3.0,4.0,4.0,5.75,18.75,9.25,25.25,425.0,61.25,6.15,1019.2,-14.299999999999999,0.0,2.2750000000000004,NNW
2013.0,3.0,4.0,5.0,5.75,18.0,13.5,33.75,500.0,50.5,5.175,1019.725,-13.375,0.0,1.9249999999999998,NW
2013.0,3.0,4.0,6.0,7.75,22.75,18.0,47.0,625.0,36.25,4.1,1020.3249999999999,-12.375,0.0,2.075,NW
2013.0,3.0,4.0,7.0,9.75,25.25,23.5,69.5,875.0,13.75,7.025,1021.05,-12.125,0.0,2.975,NNW
2013.0,3.0,4.0,8.0,11.25,33.0,27.0,71.25,999.75,15.5,8.7,1021.9,-13.85,0.0,2.875,NE
2013.0,3.0,4.0,9.0,15.5,28.25,24.75,48.5,750.0,41.25,10.075,1022.15,-14.125,0.0,2.125,N
2013.0,3.0,4.0,10.0,11.5,19.0,13.75,31.5,575.0,63.75,11.6,1021.8249999999999,-13.825000000000001,0.0,0.525,N
2013.0,3.0,4.0,11.0,12.25,16.25,11.0,27.0,500.0,72.0,12.5,1021.5,-14.8,0.0,2.55,N
2013.0,3.0,4.0,12.0,12.5,22.25,11.0,25.5,500.0,76.5,13.975,1020.175,-15.625,0.0,3.15,N
2013.0,3.0,4.0,13.0,8.75,16.0,6.5,20.75,450.0,83.0,14.925,1019.075,-14.875,0.0,1.5499999999999998,N
2013.0,3.0,4.0,14.0,6.25,10.0,5.25,19.25,425.0,87.0,15.275,1018.2,-14.6,0.0,1.15,E
2013.0,3.0,4.0,15.0,6.25,10.0,6.0,25.75,450.0,83.25,15.525,1017.65,-14.350000000000001,0.0,2.1,SSW
2013.0,3.0,4.0,16.0,10.25,14.0,9.0,34.0,525.0,82.0,14.649999999999999,1017.05,-15.05,0.0,2.825,SW
2013.0,3.0,4.0,17.0,14.0,43.75,7.75,35.75,500.0,95.5,13.075,1017.3249999999999,-14.725,0.0,2.9,SW
2013.0,3.0,4.0,18.0,20.0,39.25,8.5,42.25,550.0,85.5,12.35,1017.8499999999999,-12.875,0.0,3.025,SW
2013.0,3.0,4.0,19.0,26.75,49.5,12.75,59.5,650.0,61.5,11.725,1018.025,-12.475,0.0,2.9000000000000004,WSW
2013.0,3.0,4.0,20.0,34.5,71.0,18.0,72.0,800.0,44.5,10.65,1018.3249999999999,-11.5,0.0,1.825,SE
2013.0,3.0,4.0,21.0,44.0,75.0,28.0,75.5,875.0,42.75,9.75,1018.3249999999999,-11.350000000000001,0.0,2.025,SW
2013.0,3.0,4.0,22.0,53.75,84.5,34.25,84.25,1025.0,32.0,9.65,1017.95,-11.475,0.0,2.85,SW
2013.0,3.0,4.0,23.0,59.25,88.25,44.0,92.25,1225.0,97.0,8.975,1017.05,-10.8,0.0,2.5500000000000003,SSW
2013.0,3.0,5.0,0.0,71.0,90.0,56.0,74.5,1200.0,97.0,7.775,1016.55,-10.299999999999999,0.0,1.975,SSW
2013.0,3.0,5.0,1.0,83.0,105.5,74.25,68.5,1274.75,97.0,6.125,1016.05,-9.925,0.0,0.9750000000000001,SSE
2013.0,3.0,5.0,2.0,97.0,124.0,75.0,70.25,1299.5,97.0,3.375,1015.675,-9.975,0.0,0.0,S
2013.0,3.0,5.0,3.0,103.25,125.5,77.5,75.25,1475.0,97.0,3.425,1015.2750000000001,-9.175,0.0,0.3,N
2013.0,3.0,5.0,4.0,110.75,125.75,77.5,83.25,1525.0,97.0,1.425,1015.2,-8.975000000000001,0.0,1.275,ESE
2013.0,3.0,5.0,5.0,124.5,136.0,67.5,86.0,1999.5,97.0,0.45,1015.25,-9.55,0.0,0.8,ENE
2013.0,3.0,5.0,6.0,120.0,135.25,60.75,92.25,2449.75,97.0,-0.2,1014.975,-8.45,0.0,1.075,ENE
2013.0,3.0,5.0,7.0,110.5,130.75,63.5,92.5,2974.75,97.0,2.3,1014.9,-8.725,0.0,1.0,E
2013.0,3.0,5.0,8.0,108.25,138.75,71.75,93.0,3224.75,97.0,5.025,1014.675,-8.95,0.0,1.05,E
2013.0,3.0,5.0,9.0,119.25,158.25,89.75,101.75,3199.75,97.0,6.95,1014.075,-8.775,0.0,1.35,E
2013.0,3.0,5.0,10.0,130.25,166.5,89.75,114.75,3049.25,97.0,9.175,1013.3499999999999,-8.425,0.0,1.05,E
2013.0,3.0,5.0,11.0,132.5,169.5,89.75,124.0,2849.75,97.0,10.825,1012.375,-8.325,0.0,1.325,ESE
2013.0,3.0,5.0,12.0,109.0,180.75,87.0,137.25,2649.75,21.0,12.200000000000001,1010.975,-8.475000000000001,0.0,0.325,E
2013.0,3.0,5.0,13.0,117.0,180.5,80.0,149.0,2575.0,97.0,12.9,1009.7,-8.225000000000001,0.0,1.375,ENE
2013.0,3.0,5.0,14.0,120.5,169.75,78.75,169.75,2750.0,97.0,13.350000000000001,1009.05,-7.95,0.0,1.55,ENE
2013.0,3.0,5.0,15.0,171.75,185.5,83.25,179.0,2699.5,95.5,13.8,1008.625,-7.6,0.0,1.7249999999999999,E
2013.0,3.0,5.0,16.0,178.0,195.75,90.75,171.0,2550.0,95.5,13.2,1008.525,-7.375,0.0,1.85,ENE
2013.0,3.0,5.0,17.0,184.75,210.25,94.0,157.5,2274.75,87.5,11.725,1008.975,-7.075,0.0,0.925,NNE
2013.0,3.0,5.0,18.0,187.75,212.75,94.5,152.25,2125.0,69.75,9.3,1009.4,-5.7,0.0,0.875,ESE
2013.0,3.0,5.0,19.0,187.5,210.75,92.5,177.75,2549.25,58.75,6.35,1009.925,-4.95,0.0,0.07500000000000001,ESE
2013.0,3.0,5.0,20.0,202.75,224.5,87.25,175.75,2649.75,55.75,4.725,1010.2,-4.7,0.0,0.05,N
2013.0,3.0,5.0,21.0,211.25,225.0,92.0,175.0,3074.5,53.25,3.95,1010.125,-3.0999999999999996,0.0,1.05,ENE
2013.0,3.0,5.0,22.0,215.5,230.0,95.75,174.5,3399.5,52.75,4.525,1010.25,-4.675,0.0,0.875,E
2013.0,3.0,5.0,23.0,217.5,226.75,103.75,174.75,3449.75,52.75,4.9,1009.975,-5.875,0.0,0.35,E
2013.0,3.0,6.0,0.0,220.5,232.25,109.75,171.5,3649.25,52.75,5.425,1009.925,-6.85,0.0,0.9,NE
